Czas; Temperatura
12; 6 000
13; 0
14; 6 000
15; 0
16; 6 000
17; 0
18; 6 000
19; 0
20; 6 000
21; 0
22; 6 000
23; 0
24; 6 000
25; 0
26; 6 000
27; 0
28; 6 000
29; 0
30; 6 000
31; 0
32; 6 000
33; 0
34; 6 000
35; 0
36; 6 000
37; 0
38; 6 000
39; 0
40; 6 000
41; 0
42; 6 000
43; 0
44; 6 000
45; 0
46; 6 000
47; 0
48; 6 000
49; 0
50; 6 000
51; 0
52; 6 000
53; 0
54; 6 000
55; 0
56; 6 000
57; 0
58; 6 000
59; 0
60; 6 000
61; 0
62; 6 000
63; 0
64; 6 000
65; 0
66; 6 000
67; 0
68; 6 000
69; 0
70; 6 000
71; 0
72; 6 000
73; 0
74; 6 000
75; 0
76; 6 000
77; 0
78; 6 000
79; 0
80; 6 000
81; 0
82; 6 000
83; 0
84; 6 000
85; 0
86; 6 000
87; 0
88; 6 000
89; 0
90; 6 000
91; 0
92; 6 000
93; 0
94; 6 000
95; 0
96; 6 000
97; 0
98; 6 000
99; 0
100; 6 000
101; 0
102; 6 000
103; 0
104; 6 000
105; 0
106; 6 000
107; 0
108; 6 000
109; 0
110; 6 000
111; 0
112; 6 000
113; 0
114; 6 000
115; 0
116; 6 000
117; 0
118; 6 000
119; 0
120; 6 000
121; 0
122; 6 000
123; 0
124; 6 000
125; 0
126; 6 000
127; 0
128; 6 000
129; 0
130; 6 000
131; 0
132; 6 000
133; 0
134; 6 000
135; 0
136; 6 000
137; 0
138; 6 000
139; 0
140; 6 000
141; 0
142; 6 000
143; 0
144; 6 000
145; 0
146; 6 000
147; 0
148; 6 000
149; 0
150; 6 000
151; 0
152; 6 000
153; 0
154; 6 000
155; 0
156; 6 000
157; 0
158; 6 000
159; 0
160; 6 000
161; 0
162; 6 000
163; 0
164; 6 000
165; 0
166; 6 000
167; 0
168; 6 000
169; 0
170; 6 000
171; 0
172; 6 000
173; 0
174; 6 000
175; 0
176; 6 000
177; 0
178; 6 000
179; 0
180; 6 000
181; 0
182; 6 000
183; 0
184; 6 000
185; 0
186; 6 000
187; 0
188; 6 000
189; 0
190; 6 000
191; 0
192; 6 000
193; 0
194; 6 000
195; 0
196; 6 000
197; 0
198; 6 000
199; 0
200; 6 000
201; 0
202; 6 000
203; 0
204; 6 000
205; 0
206; 6 000
207; 0
208; 6 000
209; 0
210; 6 000
211; 0
212; 6 000
213; 0
214; 6 000
215; 0
216; 6 000
217; 0
218; 6 000
219; 0
220; 6 000
221; 0
222; 6 000
223; 0
224; 6 000
225; 0
226; 6 000
227; 0
228; 6 000
229; 0
230; 6 000
231; 0
232; 6 000
233; 0
234; 6 000
235; 0
236; 6 000
237; 0
238; 6 000
239; 0
240; 6 000
241; 0
242; 6 000
243; 0
244; 6 000
245; 0
246; 6 000
247; 0
248; 6 000
249; 0
250; 6 000
251; 0
252; 6 000
253; 0
254; 6 000
255; 0
256; 6 000
257; 0
258; 6 000
259; 0
260; 6 000
261; 0
262; 6 000
263; 0
264; 6 000
265; 0
266; 6 000
267; 0
268; 6 000
269; 0
270; 6 000
271; 0
272; 6 000
273; 0
274; 6 000
275; 0
276; 6 000
277; 0
278; 6 000
279; 0
280; 6 000
281; 0
282; 6 000
283; 0
284; 6 000
285; 0
286; 6 000
287; 0
288; 6 000
289; 0
290; 6 000
291; 0
292; 6 000
293; 0
294; 6 000
295; 0
296; 6 000
297; 0
298; 6 000
299; 0
300; 6 000
301; 0
302; 6 000
303; 0
304; 6 000
305; 0
306; 6 000
307; 0
308; 6 000
309; 0
310; 6 000
311; 0
312; 6 000
313; 0
314; 6 000
315; 0
316; 6 000
317; 0
318; 6 000
319; 0
320; 6 000
321; 0
322; 6 000
323; 0
324; 6 000
325; 0
326; 6 000
327; 0
328; 6 000
329; 0
330; 6 000
331; 0
332; 6 000
333; 0
334; 6 000
335; 0
336; 6 000
337; 0
338; 6 000
339; 0
340; 6 000
341; 0
342; 6 000
343; 0
344; 6 000
345; 0
346; 6 000
347; 0
348; 6 000
349; 0
350; 6 000
351; 0
352; 6 000
353; 0
354; 6 000
355; 0
356; 6 000
357; 0
358; 6 000
359; 0
360; 6 000
361; 0
362; 6 000
363; 0
364; 6 000
365; 0
366; 6 000
367; 0
368; 6 000
369; 0
370; 6 000
371; 0
372; 6 000
373; 0
374; 6 000
375; 0
376; 6 000
377; 0
378; 6 000
379; 0
380; 6 000
381; 0
382; 6 000
383; 0
384; 6 000
385; 0
386; 6 000
387; 0
388; 6 000
389; 0
390; 6 000
391; 0
392; 6 000
393; 0
394; 6 000
395; 0
396; 6 000
397; 0
398; 6 000
399; 0
400; 6 000
401; 0
402; 6 000
403; 0
404; 6 000
405; 0
406; 6 000
407; 0
408; 6 000
409; 0
410; 6 000
411; 0
412; 6 000
413; 0
414; 6 000
415; 0
416; 6 000
417; 0
418; 6 000
419; 0
420; 6 000
421; 0
422; 6 000
423; 0
424; 6 000
425; 0
426; 6 000
427; 0
428; 6 000
429; 0
430; 6 000
431; 0
432; 6 000
433; 0
434; 6 000
435; 0
436; 6 000
437; 0
438; 6 000
439; 0
440; 6 000
441; 0
442; 6 000
443; 0
444; 6 000
445; 0
446; 6 000
447; 0
448; 6 000
449; 0
450; 6 000
451; 0
452; 6 000
453; 0
454; 6 000
455; 0
456; 6 000
457; 0
458; 6 000
459; 0
460; 6 000
461; 0
462; 6 000
463; 0
464; 6 000
465; 0
466; 6 000
467; 0
468; 6 000
469; 0
470; 6 000
471; 0
472; 6 000
473; 0
474; 6 000
475; 0
476; 6 000
477; 0
478; 6 000
479; 0
480; 6 000
481; 0
482; 6 000
483; 0
484; 6 000
485; 0
486; 6 000
487; 0
488; 6 000
489; 0
490; 6 000
491; 0
492; 6 000
493; 0
494; 6 000
495; 0
496; 6 000
497; 0
498; 6 000
499; 0
500; 6 000
501; 0
502; 6 000
503; 0
504; 6 000
505; 0
506; 6 000
507; 0
508; 6 000
509; 0
510; 6 000
511; 0
512; 6 000
513; 0
514; 6 000
515; 0
516; 6 000
517; 0
518; 6 000
519; 0
520; 6 000
521; 0
522; 6 000
523; 0
524; 6 000
525; 0
526; 6 000
527; 0
528; 6 000
529; 0
530; 6 000
531; 0
532; 6 000
533; 0
534; 6 000
535; 0
536; 6 000
537; 0
538; 6 000
539; 0
540; 6 000
541; 0
542; 6 000
543; 0
544; 6 000
545; 0
546; 6 000
547; 0
548; 6 000
549; 0
550; 6 000
551; 0
552; 6 000
553; 0
554; 6 000
555; 0
556; 6 000
557; 0
558; 6 000
559; 0
560; 6 000
561; 0
562; 6 000
563; 0
564; 6 000
565; 0
566; 6 000
567; 0
568; 6 000
569; 0
570; 6 000
571; 0
572; 6 000
573; 0
574; 6 000
575; 0
576; 6 000
577; 0
578; 6 000
579; 0
580; 6 000
581; 0
582; 6 000
583; 0
584; 6 000
585; 0
586; 6 000
587; 0
588; 6 000
589; 0
590; 6 000
591; 0
592; 6 000
593; 0
594; 6 000
595; 0
596; 6 000
597; 0
598; 6 000
599; 0
600; 6 000
601; 0
602; 6 000
603; 0
604; 6 000
605; 0
606; 6 000
607; 0
608; 6 000
609; 0
610; 6 000
611; 0
612; 6 000
613; 0
614; 6 000
615; 0
616; 6 000
617; 0
618; 6 000
619; 0
620; 6 000
621; 0
622; 6 000
623; 0
624; 6 000
625; 0
626; 6 000
627; 0
628; 6 000
629; 0
630; 6 000
631; 0
632; 6 000
633; 0
634; 6 000
635; 0
636; 6 000
637; 0
638; 6 000
639; 0
640; 6 000
641; 0
642; 6 000
643; 0
644; 6 000
645; 0
646; 6 000
647; 0
648; 6 000
649; 0
650; 6 000
651; 0
652; 6 000
653; 0
654; 6 000
655; 0
